NewsPaper Name,Location / Area,Dist. Frequency
Stillwater Courier,"Stillwater, MN",
Stillwater Gazette,"Stillwater, MN",Daily
Stillwater Journal [Perkins Journal],"Perkins, OK",Daily
Stillwater News Press,"Stillwater, OK",Daily
Stilwell Democrat-Journal,"Stilwell, OK",
Stonebridge Press,"Southbridge, MA",
Story – Central DeKalb Edition,"Atlanta, GA",Weekly
Story County Advertiser,"Ames, IA",Weekly
Stranger,"Seattle, WA",
Stripe,"Washington, DC",Weekly
Stuart News,"Stuart, FL",
Studio City Sun,"Studio City, CA",Weekly
Sturgis Journal,"Sturgis, MI",
Stuttgart Daily Leader,"Stuttgart, AR",Daily
Style [Arkansas Democrat-Gazette],"Little Rock, AR",Daily
Style [Hoy],"New York, NY",Daily
Style [Owensboro Messenger-Inquirer],"Owensboro, KY",Daily
Style [Palm Beach Post],"West Palm Beach, FL",Daily
Style [Plain Dealer],"Cleveland, OH",Daily
Style [Sarasota Herald-Tribune],"Sarasota, FL",Daily
Style Plus [Star-Ledger],"Newark, NJ",Daily
Style Weekly,"Richmond, VA",
Suburban,"Freehold, NJ",Weekly
Suburban and Wayne Times Newspapers,"Wayne, PA",
Suburban Flint Newspaper Group,"Flint, MI",
Suburban Journals – North St. Louis County,"Hazelwood, MO",
Suburban Journals – West St. Louis County,"Town and Country, MO",
"Suburban Life – Lombard, Oakbrook Terrace, Villa Park, Western Spring","Oak Brook, IL",Weekly
Suburban Lifestyles,"Rochester, MI",Weekly
Suburban Lifestyles-Farmington,"Farmington, MI",
Suburban Street News,"White Plains, NY",Weekly
Suburban Washington Newspapers,"Alexandria, VA",
Suburbanite,"Akron, OH",
Suburbanite Newspapers,"Englewood, NJ",Weekly
Suffolk News-Herald,"Suffolk, VA",
Sullivan Daily Times,"Sullivan, IN",Daily
Sulphur Springs News-Telegram,"Sulphur Springs, TX",Daily
Summer Vacation Guide [Arizona Republic],"Phoenix, AZ",Daily
Summerlin View,"Las Vegas, NV",Weekly
SummerScapes [Arizona Republic],"Phoenix, AZ",Daily
Summerville News,"Summerville, GA",
Summit Daily News,"Frisco, CO",
Sumter Shopper,"Fruitland Park, FL",Weekly
Sun,"Jonesboro, AR",
Sun,"Lowell, MA",
Sun,"San Bernardino, CA",
Sun,"North Olmsted, OH",Weekly
Sun,"Bremerton, WA",Daily
Sun,"Yuma, AZ",Daily
Sun – Carroll County Bureau,"Westminster, MD",Daily
Sun – Gazette,"Alexandria, VA",Weekly
Sun – Howard County Bureau,"Columbia, MD",Daily
Sun – Redlands Bureau,"Redlands, CA",Daily
Sun – Washington Bureau,"Washington, DC",Daily
Sun Chronicle,"Attleboro, MA",
Sun City Independent,"Sun City, AZ",Weekly
Sun Country [Jamestown Sun],"Jamestown, ND",Daily
Sun Herald,"Gulfport, MS",
Sun Herald,"Pascagoula, MS",
Sun Herald – Bay Saint Louis Bureau,"Bay Saint Louis, MS",Daily
Sun Herald – Capitol Bureau,"Jackson, MS",Daily
Sun Herald – Ocean Springs Bureau,"Ocean Springs, MS",Daily
Sun Herald – Washington Bureau,"Washington, DC",Daily
Sun Journal,"Lewiston, ME",
Sun Journal,"New Bern, NC",
Sun Journal – Norway Bureau,"Norway, ME",Daily
Sun Journal – Rumford Bureau,"Rumford, ME",Daily
Sun News,"Myrtle Beach, SC",
Sun Newspapers,"Valley View, OH",
Sun Publications,"Overland Park, KS",
Sun Shopper,"Prescott, AZ",Weekly
Sun Times,"Perryville, MO",Daily
Sun Views,"Sun City, AZ",Weekly
Suncoast News – Clearwater,"Clearwater, FL",Weekly
Suncoast News – North Pinellas serving Palm Harbor/Tarpon Springs,"Palm Harbor, FL",Weekly
Sunday Arts [Dallas Morning News],"Dallas, TX",Daily
Sunday Arts [Star-Ledger],"Newark, NJ",Daily
Sunday Book Review Section,"Baltimore, MD",Daily
Sunday Book Week [Chicago Sun-Times],"Chicago, IL",Daily
Sunday Business [Star Tribune],"Minneapolis, MN",Daily
Sunday Independent,"Owosso, MI",Weekly
Sunday Leader [Leader-Herald],"Gloversville, NY",Daily
Sunday Leisure [Temple Daily Telegram],"Temple, TX",Daily
Sunday Living [Home News Tribune],"East Brunswick, NJ",Daily
Sunday Magazine [Advocate],"Baton Rouge, LA",Daily
Sunday Magazine [Boston Herald],"Boston, MA",Daily
Sunday Magazine [Daily News],"Lebanon, PA",Daily
Sunday Magazine [Longview News-Journal],"Longview, TX",Daily
Sunday Magazine [Pittsburgh Post-Gazette],"Pittsburgh, PA",Daily
Sunday Magazine [Plain Dealer],"Cleveland, OH",Daily
Sunday Magazine [Times Herald Record],"Middletown, NY",Daily
Sunday News,"Lancaster, PA",
Sunday Paper,"Atlanta, GA",
Sunday Show World [Austin American-Statesman],"Austin, TX",Daily
Sunday Showcase [Chicago Sun-Times],"Chicago, IL",Daily
Sunday Source [Washington Post],"Washington, DC",Daily
Sunday Spotlight [Rocky Mountain News],"Denver, CO",Daily
Sunday Styles [New York Times],"New York, NY",Daily
Sunday Sun,"Midwest City, OK",Weekly
Sunday Times,"Dearborn, MI",Weekly
Sunday Travel [Indianapolis Star],"Indianapolis, IN",Daily
Sunday Travel [St. Petersburg Times],"Saint Petersburg, FL",Daily
Sunday TV Listings [Milwaukee Journal Sentinel],"Milwaukee, WI",Daily
Sunday Western Star,"Lebanon, OH",Weekly
Sunday’s Homes [Dallas Morning News],"Dallas, TX",Daily
Sunday’s Magazine [News-Times],"Danbury, CT",Daily
Sundial [Arizona Daily Sun],"Flagstaff, AZ",Daily
Sundland [Beatrice Daily Sun],"Beatrice, NE",Daily
Sun-News Business [Las Cruces Sun-News],"Las Cruces, NM",Daily
Sunnyside Daily Sun News,"Sunnyside, WA",Daily
Sun-Reporter,"San Francisco, CA",
Sun-Reporter Publishing Company,"San Francisco, CA",
Sunrise View [Las Vegas Review-Journal],"Las Vegas, NV",Daily
Sun-Sentinel – Sunrise Bureau,"Fort Lauderdale, FL",Daily
Sunset Beacon,"San Francisco, CA",Weekly
Super Shopper,"Yuma, AZ",Weekly
Surry Scene,"Mount Airy, NC",Weekly
SUV/Truck Guide [Arizona Republic],"Phoenix, AZ",Daily
Swansea News,"Swansea, MA",Daily
Swarner Communications,"Lakewood, WA",
Sweet Springs Herald,"Sweet Springs, MO",
Sweetwater Reporter,"Sweetwater, TX",Daily
Syracuse New Times,"Syracuse, NY",
Syrian Lebanese Star,"Jacksonville, FL",Weekly
T.G.I.F. [Palm Beach Post],"West Palm Beach, FL",Daily
T.G.I.F. Sound Life [News Tribune],"Tacoma, WA",Daily
Tacoma Daily Index,"Tacoma, WA",Daily
Taconic Press,"Millbrook, NY",
Tahlequah Daily Press,"Tahlequah, OK",Daily
Tahoe Daily Tribune,"South Lake Tahoe, CA",
Takoma Voice,"Takoma Park, MD",
Tallahassee Capital Outlook,"Tallahassee, FL",
Tallahassee Democrat,"Tallahassee, FL",
Tallahassee Democrat – Capitol Bureau,"Tallahassee, FL",Daily
Tampa Bay Homes [St. Petersburg Times],"Saint Petersburg, FL",Daily
Tampa Neighborhood News,"Tampa, FL",Weekly
Tampa Tribune,"Tampa, FL",
Tampa Tribune,"Lutz, FL",
Tampa Tribune,"Brandon, FL",
Tampa Tribune,"New Port Richey, FL",
Tampa Tribune,"Tallahassee, FL",
Tampa Tribune,"Clearwater, FL",
Tampa Tribune – Brandon Bureau,"Brandon, FL",Daily
Tampa Tribune – Clearwater Bureau,"Clearwater, FL",Daily
Tampa Tribune – Lakeland Bureau,"Lakeland, FL",Daily
Tampa Tribune – Lutz Bureau,"Lutz, FL",Daily
Tampa Tribune – New Port Richey Bureau,"New Port Richey, FL",Daily
Tampa Tribune – Northwest Bureau,"Tampa, FL",Daily
Tampa Tribune – Sebring Bureau,"Sebring, FL",Daily
Tampa Tribune – St. Petersburg Bureau,"Saint Petersburg, FL",Daily
Tampa Tribune – Tallahassee Bureau,"Tallahassee, FL",Daily
Taos News,"Taos, NM",
Tarrant Business [Fort Worth Star-Telegram],"Fort Worth, TX",Daily
Taste [Courier-Post],"Cherry Hill, NJ",Daily
Taste [Honolulu Advertiser],"Honolulu, HI",Daily
Taste [Las Vegas Review-Journal],"Las Vegas, NV",Daily
Taste [Press-Telegram],"Long Beach, CA",Daily
Taste [Star Tribune],"Minneapolis, MN",Daily
Taste [Tucson Citizen],"Tucson, AZ",Daily
Taunton Daily Gazette,"Taunton, MA",
Taylor Daily Press,"Taylor, TX",Daily
Taylor/Romulus News-Herald,"Taylor, MI",Weekly
TCU Daily Skiff,"Fort Worth, TX",Daily
Tech Connection [Salt Lake Tribune],"Salt Lake City, UT",Daily
Tech Monday [Austin American-Statesman],"Austin, TX",Daily
Tech Times [St. Petersburg Times],"Saint Petersburg, FL",Daily
Tech Trends [Press-Enterprise – Metro Edition],"Riverside, CA",Daily
Technology [Detroit News],"Detroit, MI",Daily
Technology [South Florida Sun-Sentinel],"Fort Lauderdale, FL",Daily
Techzone [Daily News],"New York, NY",Daily
Tecumseh Herald,"Tecumseh, MI",
Teen Star [Kansas City Star],"Kansas City, MO",Daily
Teen Topics [Knoxville News-Sentinel],"Knoxville, TN",Daily
Teen Weekend [Lancaster New Era],"Lancaster, PA",Daily
Telegram & Gazette,"Worcester, MA",
Telegram & Gazette,"Gardner, MA",
Telegram & Gazette,"Whitinsville, MA",
Telegram & Gazette – Boston Bureau,"Boston, MA",Daily
Telegram & Gazette – Clinton Bureau,"Clinton, MA",Daily
Telegram & Gazette – Fitchburg Bureau,"Fitchburg, MA",Daily
Telegram & Gazette – Gardner Bureau,"Gardner, MA",Daily
Telegram & Gazette – Holden Bureau,"Holden, MA",Daily
Telegram & Gazette – Leominster Bureau,"Leominster, MA",Daily
Telegram & Gazette – Northborough Bureau,"Northborough, MA",Daily
Telegram & Gazette – Spencer Bureau,"Spencer, MA",Daily
Telegram & Gazette – Westborough Bureau,"Westborough, MA",Daily
Telegram & Gazette – Whitinsville Bureau,"Whitinsville, MA",Daily
Telegraph,"Hudson, NH",
Telegraph,"Macon, GA",
Telegraph,"Alton, IL",
Telegraph,"Warner Robins, GA",
Telegraph,"Dixon, IL",Daily
Telegraph,"North Platte, NE",Daily
Telegraph Herald,"Dubuque, IA",
Telegraph-Forum,"Bucyrus, OH",Daily
Telelog [Blade-Empire],"Concordia, KS",Daily
Television [New York Times],"New York, NY",Daily
Television [San Jose Mercury News],"San Jose, CA",Daily
Telluride Daily Planet,"Telluride, CO",
Temple Daily Telegram,"Temple, TX",
Temple Daily Telegram – Belton Bureau,"Belton, TX",Daily
Temple Daily Telegram – Cameron Bureau,"Cameron, TX",Daily
Temple Daily Telegram – Killeen Bureau,"Temple, TX",Daily
Temple Terrace Beacon,"Lutz, FL",Weekly
Tempo,"Kiel, WI",Weekly
Tempo [Bisbee Daily Review],"Bisbee, AZ",Daily
Tempo [Brainerd Daily Dispatch],"Brainerd, MN",Daily
Tempo [Post-Journal],"Jamestown, NY",Daily
Tempo [Sierra Vista Herald],"Sierra Vista, AZ",Daily
Tempo [Slidell Sentry-News],"Slidell, LA",Daily
Tempo News,"Sarasota, FL",Weekly
Tennessean,"Nashville, TN",
Tennessean,"Franklin, TN",
Tennessean – Washington Bureau,"Arlington, VA",Daily
Tennessee Star Journal,"Pigeon Forge, TN",
Terrell Tribune,"Terrell, TX",Daily
Test Drive [Middletown Journal],"Middletown, OH",Daily
Texan Blitz,"Houston, TX",Weekly
Texarkana Gazette,"Texarkana, TX",
Texas & Southwest [Dallas Morning News],"Dallas, TX",Daily
Texas Catholic,"Dallas, TX",Weekly
Texas Living [Dallas Morning News],"Dallas, TX",Daily
Texas Observer,"Austin, TX",
Texas Taste [Dallas Morning News],"Dallas, TX",Daily
TGIF [Courier-Post],"Cherry Hill, NJ",Daily
TGIF [Honolulu Advertiser],"Honolulu, HI",Daily
TGIF [Journal and Courier],"Lafayette, IN",Daily
Thang Long,"Boston, MA",Weekly
The Beacon News,"Aurora, IL",Daily
The Brooklyn Daily Eagle,"Brooklyn, NY",Daily
The Capital,"Annapolis, MD",Daily
The Chesterfield Observer,"Midlothian, VA",Weekly
The Cullman Times,"Cullman, AL",Daily
The Current,"Fountain Valley, CA",Daily
The Daily,"New York, NY",Daily
The Daily Deal,"New York, NY",Daily
The Daily Record,"Wooster, OH",Daily
The Frederick News-Post,"Frederick, MD",Daily
The Gazette,"Colorado Springs, CO",Daily
The Goshen News,"Goshen, IN",Daily
The Huffington Post,"Herndon, VA",Daily
The Inlander,"Spokane, WA",Weekly
The Irvine World News,"Irvine, CA",Weekly
The Midlothian Exchange,"Midlothian, VA",Weekly
The Midweek,"Dekalb, IL",Weekly
The Morning Journal,"Lorain, OH",Daily
The Mount Olive/Netcong Weekly,"Budd Lake, NJ",Weekly
The News Hopper,"Aitkin, MN",Daily
The News Record – Linden Edition,"Rahway, NJ",Daily
The Record Gazette,"Banning, CA",Daily
The Republican And The Republican Sunday,"Springfield, MA",Daily
The Republican and The Republican Sunday – Boston Bureau,"Boston, MA",Daily
The Republican and The Republican Sunday – Greenfield Bureau,"Greenfield, MA",Daily
The Republican and The Republican Sunday – Northampton Bureau,"Northampton, MA",Daily
The Republican and The Republican Sunday – Washington Bureau,"Washington, DC",Daily
The Skanner,"Seattle, WA",Weekly
The Star-Ledger Somerset and Hunterdon County Section [Star-Ledger],"Bridgewater, NJ",Daily
The State Journal-Register,"Springfield, IL",Daily
The Step Saver/The Observer,"Southington, CT",Weekly
"The Times, Trenton","Trenton, NJ",Daily
The View,"Ellicott City, MD",Weekly
The Village Voice,"New York, NY",Weekly
The West Central Tribune,"Willmar, MN",Weekly
The Wichita Eagle,"Wichita, KS",Daily
Theater [Quincy Herald-Whig],"Quincy, IL",Daily
Thersday [Daily News],"New York, NY",Daily
TheTownTalk,"Alexandria, LA",Daily
"Thief River Falls Times, Inc.","Thief River Falls, MN",
This Week [Courier-Post],"Cherry Hill, NJ",Daily
This Week [Houston Chronicle],"Houston, TX",Daily
This Week Community Newspapers,"Lewis Center, OH",
This Week in Business [Milwaukee Journal Sentinel],"Milwaukee, WI",Daily
This Week in Hilliard,"Worthington, OH",Weekly
This Week In Southside,"Worthington, OH",Weekly
This Week In Upper Arlington,"Worthington, OH",Weekly
This Week In West Side,"Worthington, OH",Weekly
This Week In Westerville,"Worthington, OH",Weekly
This Week In Worthington,"Worthington, OH",Weekly
This Weekend [Houston Chronicle],"Houston, TX",Daily
This Weekend [Lancaster New Era],"Lancaster, PA",Daily
Thisweek Newspapers,"Burnsville, MN",
Thomas Tribune,"Thomas, OK",
Thomaston Times,"Thomaston, GA",
Thomasville Times-Enterprise,"Thomasville, GA",
Thorndale Community Courier,"Mount Joy, PA",Weekly
Three Rivers Commercial-News,"Three Rivers, MI",
Thrifty Nickel,"Davenport, IA",Weekly
Thrifty Nickel,"Billings, MT",Weekly
TIA,"Washington, DC",Daily
Ticket [Columbus Dispatch],"Columbus, OH",Daily
Ticket [Herald-Star],"Steubenville, OH",Daily
Ticket [Morning News],"Florence, SC",Daily
Ticket [Sacramento Bee],"Sacramento, CA",Daily
Ticket [Sarasota Herald-Tribune],"Sarasota, FL",Daily
Ticket [Star-Ledger],"Newark, NJ",Daily
Ticket [Times Record],"Brunswick, ME",Daily
Tideland News,"Swansboro, NC",
Tidings,"Los Angeles, CA",Weekly
Tiempo New York,"New York, NY",
Tiempos del Mundo – Miami Edition,"Doral, FL",
Tifton Gazette,"Tifton, GA",Daily
Tiller and Toiler,"Larned, KS",Daily
Time Out [Contra Costa Times],"Walnut Creek, CA",Daily
Time Out [Daily Herald],"Arlington Heights, IL",Daily
Time Out [Greenville News],"Greenville, SC",Daily
Time Out [Telegram & Gazette],"Worcester, MA",Daily
Time Out [Ventura County Star],"Ventura, CA",Daily
Time-Out [Greenville News],"Greenville, SC",Daily
Time-Out [Opelika-Auburn News],"Opelika, AL",Daily
Times,"Ottawa, IL",
Times,"Gainesville, GA",
Times,"Shreveport, LA",
Times,"Munster, IN",
Times,"Trenton, NJ",
Times,"Crown Point, IN",
Times,"Baton Rouge, LA",
Times,"North Little Rock, AR",
Times,"Valparaiso, IN",
Times,"Portage, IN",
Times,"Portland, OR",
Times,"Melbourne, FL",Weekly
Times – U.S. Edition,"Washington, DC",
Times & Democrat,"Orangeburg, SC",
Times [Times],"Frankfort, IN",Daily
Times and Democrat,"Orangeburg, SC",Daily
Times Argus,"Barre, VT",
Times Argus – Vermont Press Bureau,"Montpelier, VT",Daily
Times Beacon Record Newspapers,"Setauket, NY",
Times Community Newspapers – Warrenton,"Warrenton, VA",
Times Daily,"Florence, AL",Daily
Times Dispatch,"Walnut Ridge, AR",
Times Gazette,"Hillsboro, OH",Daily
Times Georgian,"Carrollton, GA",Daily
Times Herald,"Olean, NY",
Times Herald,"Port Huron, MI",
Times Herald,"Norristown, PA",
Times Herald Record,"Middletown, NY",
Times Herald Record,"New Windsor, NY",
Times Herald Record,"Highland, NY",
Times Herald Record,"Chester, NY",
Times Herald Record,"Port Jervis, NY",
Times Herald-Record Weekly (Pike),"Milford, PA",Daily
Times Journal,"Fort Payne, AL",Daily
Times Leader,"Wilkes-Barre, PA",
Times Leader,"Martins Ferry, OH",
Times Leader,"Princeton, KY",
Times Leader,"Wilkes Barre, PA",Daily
Times News,"Lehighton, PA",
Times News,"Dayton, OH",Weekly
Times Newspapers,"Peoria, IL",
Times Newsweekly,"Ridgewood, NY",Weekly
Times Observer,"Warren, PA",Daily
Times of Acadiana,"Lafayette, LA",
Times Publishing Group,"Aptos, CA",
Times Record,"Fort Smith, AR",
Times Record,"Little Rock, AR",
Times Record,"Washington, DC",
Times Record,"Brunswick, ME",
Times Record News,"Wichita Falls, TX",
Times Recorder,"Zanesville, OH",
Times Tribune,"Brookshire, TX",
Times Union,"Albany, NY",
Times Union,"Troy, NY",
Times Union – Capitol Bureau,"Albany, NY",Daily
Times Union – Rensselear County Bureau,"Troy, NY",Daily
Times Union – Saratoga County Bureau,"Saratoga Springs, NY",Daily
Times Weekly,"Joliet, IL",
Times West Virginian,"Fairmont, WV",
Times/Ledger Newspapers,"Bayside, NY",
Times-Beacon Newspapers,"Manahawkin, NJ",
Times-Bulletin,"Van Wert, OH",Daily
Times-Citizen,"Iowa Falls, IA",
Times-Courier,"Charleston, IL",
Times-Courier,"Ellijay, GA",
TimesDaily,"Florence, AL",
Times-Georgian,"Carrollton, GA",
Times-Herald,"Carroll, IA",
Times-Herald,"Forrest City, AR",Daily
Times-Illinois Edition,"Munster, IN",Daily
Times-Junction,"Willard, OH",
Times-Leader,"Martins Ferry, OH",Daily
Times-Mail,"Bedford, IN",
Times-News,"Twin Falls, ID",
Times-News,"Burlington, NC",
Times-News,"Hendersonville, NC",
Times-Picayune,"New Orleans, LA",
Times-Picayune,"Washington, DC",
Times-Picayune,"La Place, LA",
Times-Picayune,"Slidell, LA",
Times-Picayune,"Covington, LA",
Times-Picayune,"Baton Rouge, LA",
Times-Picayune,"Metairie, LA",
Times-Picayune,"Kenner, LA",
Times-Picayune – Baton Rouge Bureau,"Baton Rouge, LA",Daily
Times-Picayune – East Jefferson Bureau,"Metairie, LA",Daily
Times-Picayune – Kenner Bureau,"Kenner, LA",Daily
Times-Picayune – River Parishes Bureau,"La Place, LA",Daily
Times-Picayune – Saint Bernard Bureau,"Chalmette, LA",Daily
Times-Picayune – St. Bernard Bureau,"Chalmette, LA",Daily
Times-Picayune – St. Tammany Slidell Bureau,"Slidell, LA",Daily
Times-Picayune – Washington Bureau,"Washington, DC",Daily
Times-Picayune – West Bank Bureau,"Gretna, LA",Daily
Times-Press,"Streator, IL",Daily
Times-Record,"Fort Worth, TX",
Times-Reporter,"New Philadelphia, OH",
Times-Republican,"Marshalltown, IA",
Times-Review,"Cleburne, TX",
Times-Standard,"Eureka, CA",
Times-Tribune,"Scranton, PA",
Times-Tribune,"Corbin, KY",Daily
Times-Union,"Warsaw, IN",
Times-Virginian,"Appomattox, VA",
Tinker Take Off,"Oklahoma City, OK",Weekly
Tipton County Tribune,"Tipton, IN",Daily
Titusville Herald,"Titusville, PA",Daily
Today,"Tucson, AZ",Weekly
Today in Peachtree City,"Fayetteville, GA",Daily
"Today Newspapers, Inc.","Desoto, TX",
Today’s Catholic,"San Antonio, TX",Weekly
Today’s Home [Washington Times],"Washington, DC",Daily
Today’s Local News,"San Marcos, CA",Daily
Today’s New Homes,"Glenview, IL",Daily
Today’s News Herald,"Lake Havasu City, AZ",Daily
Today’s News-Herald,"Lake Havasu City, AZ",
Today’s Sunbeam,"Salem, NJ",
Toledo Legal News,"Toledo, OH",Daily
Tolucan Times,"Toluca Lake, CA",Weekly
Tolucan Times and Canyon Crier,"Toluca Lake, CA",
Tomah Journal Newspapers,"Tomah, WI",
Tomahawk Leader,"Tomahawk, WI",
Tonawanda News,"North Tonawanda, NY",
Tonopah Times-Bonanza & Goldfield News Newspapers,"Tonopah, NV",
Topeka Capital-Journal,"Topeka, KS",
Topics,"Noblesville, IN",Daily
"Topics Newspapers, Inc.","Fishers, IN",
Topics Sun Wave,"Los Angeles, CA",Weekly
Toronto Star,"Toronto, ON",
Toronto Star – Washington Bureau,"Washington, DC",Daily
Toronto Sun,"Toronto, ON",
Tourism & Gambling [Las Vegas Review-Journal],"Las Vegas, NV",Daily
Town & County [Free Lance-Star],"Fredericksburg, VA",Daily
Town & County Crier,"Salem, IL",Weekly
Town Charter,"Aubrey, TX",
Town Crier,"Idyllwild, CA",
Town Crier,"Geneva, NY",Daily
Town Of Poughkeepsie Pennysaver,"Yorktown Heights, NY",Weekly
Town Talk,"Holmes, PA",Weekly
Town Talk – Southern Delaware County Edition,"Holmes, PA",Weekly
Township Voice,"Phoenixville, PA",Weekly
Towson Times,"Towson, MD",Weekly
Tracks & Trails [Holland Sentinel],"Holland, MI",Daily
Tracy Press,"Tracy, CA",
Trade & Transactions,"York, NE",Weekly
Trader’s Shopper’s Guide,"Cheyenne, WY",Weekly
Trading Post – East Edition,"Rittman, OH",Weekly
Transcript,"Morrisville, VT",Weekly
Transportation [Chicago Tribune],"Chicago, IL",Daily
Transportation [Orlando Sentinel],"Orlando, FL",Daily
Transylvania Times,"Brevard, NC",
Travel,"Baltimore, MD",Daily
Travel & Leisure [St. Louis Post-Dispatch],"Saint Louis, MO",Daily
Travel & Resort [Hartford Courant],"Hartford, CT",Daily
Travel & Resort [Philadelphia Inquirer],"Philadelphia, PA",Daily
Travel [Arizona Daily Star],"Tucson, AZ",Daily
Travel [Arizona Republic],"Phoenix, AZ",Daily
Travel [Austin American-Statesman],"Austin, TX",Daily
Travel [Blade],"Toledo, OH",Daily
Travel [Boston Herald],"Boston, MA",Daily
Travel [Breeze Courier],"Taylorville, IL",Daily
Travel [Buffalo News],"Buffalo, NY",Daily
Travel [Chicago Tribune],"Chicago, IL",Daily
Travel [Cincinnati Enquirer],"Cincinnati, OH",Daily
Travel [Columbus Dispatch],"Columbus, OH",Daily
Travel [Commercial Appeal],"Memphis, TN",Daily
Travel [Dallas Morning News],"Dallas, TX",Daily
Travel [Denver Post],"Denver, CO",Daily
Travel [Deseret News],"Salt Lake City, UT",Daily
Travel [Detroit Free Press],"Detroit, MI",Daily
Travel [East Valley Tribune],"Mesa, AZ",Daily
Travel [Florida Times-Union],"Jacksonville, FL",Daily
Travel [Fort Worth Star-Telegram],"Fort Worth, TX",Daily
Travel [Fresno Bee],"Fresno, CA",Daily
Travel [Grand Rapids Press],"Grand Rapids, MI",Daily
Travel [Greenville News],"Greenville, SC",Daily
Travel [Honolulu Advertiser],"Honolulu, HI",Daily
Travel [Hoy],"New York, NY",Daily
Travel [Kansas City Star],"Kansas City, MO",Daily
Travel [Las Vegas Review-Journal],"Las Vegas, NV",Daily
Travel [Lexington Herald-Leader],"Lexington, KY",Daily
Travel [Los Angeles Times],"Los Angeles, CA",Daily
Travel [Miami Herald],"Miami, FL",Daily
Travel [Milwaukee Journal Sentinel],"Milwaukee, WI",Daily
Travel [Morning Call],"Allentown, PA",Daily
Travel [New York Post],"New York, NY",Daily
Travel [New York Times],"New York, NY",Daily
Travel [News & Observer],"Raleigh, NC",Daily
Travel [Newsday],"Melville, NY",Daily
Travel [News-Gazette],"Champaign, IL",Daily
Travel [Oakland Tribune],"Oakland, CA",Daily
Travel [Orange County Register],"Santa Ana, CA",Daily
Travel [Oregonian],"Portland, OR",Daily
Travel [Orlando Sentinel],"Orlando, FL",Daily
Travel [Palm Beach Post],"West Palm Beach, FL",Daily
Travel [Pittsburgh Post-Gazette],"Pittsburgh, PA",Daily
Travel [Plain Dealer],"Cleveland, OH",Daily
Travel [Press-Telegram],"Long Beach, CA",Daily
Travel [Quincy Herald-Whig],"Quincy, IL",Daily
Travel [Richmond Times-Dispatch],"Richmond, VA",Daily
Travel [Rocky Mountain News],"Denver, CO",Daily
Travel [Salt Lake Tribune],"Salt Lake City, UT",Daily
Travel [San Diego Union-Tribune],"San Diego, CA",Daily
Travel [San Gabriel Valley Daily Tribune],"Covina, CA",Daily
Travel [San Jose Mercury News],"San Jose, CA",Daily
Travel [Seattle Times],"Seattle, WA",Daily
Travel [Star Tribune],"Minneapolis, MN",Daily
Travel [Star-Ledger],"Newark, NJ",Daily
Travel [Stuart News],"Stuart, FL",Daily
Travel [Sun],"San Bernardino, CA",Daily
Travel [Tampa Tribune],"Tampa, FL",Daily
Travel [Tennessean],"Nashville, TN",Daily
Travel [Times Union],"Albany, NY",Daily
Travel [Tulsa World],"Tulsa, OK",Daily
Travel [Washington Post],"Washington, DC",Daily
Travel [Washington Times],"Washington, DC",Daily
Travel [Wisconsin State Journal],"Madison, WI",Daily
Travel Section [Arkansas Democrat-Gazette],"Little Rock, AR",Daily
"Travel, Society, & Weddings [Providence Journal]","Providence, RI",Daily
Travel/Leisure [San Antonio Express-News],"San Antonio, TX",Daily
Traverse City Record-Eagle,"Traverse City, MI",
Treasure Valley Christian News,"Boise, ID",Weekly
Trenton Republican-Times,"Trenton, MO",Daily
Trenton Sun,"Trenton, IL",
Trentonian,"Trenton, NJ",
Tri City Ledger,"Flomaton, AL",
Tri County Shopper News,"Springfield, OH",Weekly
Triangle Business Journal,"Raleigh, NC",Weekly
Triangle Shopping Guide,"Mount Dora, FL",Weekly
Triangle Tribune,"Durham, NC",Weekly
Tribune,"Ames, IA",
Tribune,"New Albany, IN",
Tribune,"Bethany, OK",
Tribune,"San Luis Obispo, CA",
Tribune,"Fort Pierce, FL",
Tribune,"Seymour, IN",
Tribune Chronicle,"Warren, OH",
Tribune Star,"Terre Haute, IN",
Tribune-Courier,"Benton, KY",
Tribune-Democrat,"Johnstown, PA",
Tribune-Democrat – Cresson Bureau,"Cresson, PA",Daily
Tribune-Democrat – Somerset Bureau,"Somerset, PA",Daily
Tribune-Herald,"Hilo, HI",
Tribune-Review,"Greensburg, PA",
Tribune-Review – Charleroi Bureau,"Charleroi, PA",Daily
Tribune-Review – Latrobe Bureau,"Latrobe, PA",Daily
Tribune-Review – Monroeville Bureau,"Monroeville, PA",Daily
Tribune-Review – Pittsburgh Bureau,"Pittsburgh, PA",Daily
Tribune-Review – Uniontown Bureau,"Uniontown, PA",Daily
Tribune-Review – Warrendale Bureau,"Warrendale, PA",Daily
Tribune-Star,"Terre Haute, IN",Daily
Tribune-Times,"Fountain Inn, SC",
Tri-City Herald,"Kennewick, WA",
Tri-City Herald – Prosser Bureau,"Prosser, WA",Daily
Tri-City Voice,"Fremont, CA",Weekly
Tri-County,"Beaver Dam, WI",Weekly
Tri-County Bulletin,"Chiefland, FL",Weekly
Tri-County Journal,"Eureka, MO",
Tri-County News,"Knoxville, TN",
Tri-County News,"Slippery Rock, PA",Weekly
Tri-County Newspapers,"Gardner, KS",
Tri-County Pennysaver,"Hinesville, GA",Weekly
Tri-County Record,"Morgantown, PA",Weekly
